State,Action
1,4
2,7
3,6
4,5
5,6
6,5
7,2
8,5
9,7
10,5
11,3
12,4
13,6
14,7
15,7
16,2
17,4
18,7
19,2
20,7
21,3
22,3
23,4
24,5
25,7
26,4
27,3
28,6
29,3
30,7
31,3
32,5
33,6
34,5
35,4
36,4
37,7
38,6
39,7
40,3
41,2
42,6
43,6
44,5
45,3
46,7
47,6
48,5
49,7
50,7
51,5
52,7
53,7
54,3
55,7
56,7
57,3
58,7
59,7
60,7
61,6
62,6
63,5
64,3
65,7
66,7
67,5
68,4
69,6
70,7
71,4
72,1
73,4
74,7
75,7
76,3
77,1
78,7
79,3
80,5
81,3
82,5
83,1
84,2
85,7
86,4
87,5
88,7
89,7
90,7
91,1
92,6
93,3
94,7
95,7
96,2
97,6
98,5
99,2
100,7
101,1
102,1
103,7
104,3
105,3
106,1
107,7
108,5
109,5
110,5
111,1
112,4
113,7
114,7
115,5
116,4
117,3
118,7
119,6
120,7
121,7
122,1
123,5
124,5
125,1
126,7
127,1
128,5
129,2
130,4
131,1
132,7
133,5
134,2
135,6
136,5
137,6
138,3
139,1
140,7
141,6
142,1
143,5
144,3
145,3
146,3
147,5
148,7
149,6
150,7
151,3
152,3
153,1
154,4
155,5
156,3
157,7
158,3
159,3
160,3
161,7
162,4
163,5
164,6
165,3
166,6
167,5
168,5
169,7
170,3
171,3
172,5
173,4
174,1
175,1
176,1
177,4
178,1
179,7
180,5
181,2
182,1
183,2
184,2
185,7
186,7
187,7
188,2
189,1
190,1
191,2
192,2
193,1
194,5
195,6
196,7
197,6
198,1
199,1
200,7
201,1
202,7
203,7
204,3
205,6
206,3
207,2
208,3
209,3
210,1
211,3
212,3
213,2
214,7
215,3
216,1
217,3
218,1
219,2
220,7
221,3
222,1
223,4
224,5
225,4
226,6
227,6
228,1
229,3
230,1
231,1
232,3
233,7
234,5
235,1
236,3
237,3
238,1
239,7
240,3
241,4
242,2
243,5
244,1
245,1
246,1
247,7
248,7
249,1
250,7
251,5
252,2
253,6
254,3
255,1
256,3
257,1
258,7
259,6
260,2
261,7
262,6
263,2
264,1
265,7
266,1
267,5
268,5
269,4
270,7
271,3
272,2
273,3
274,7
275,7
276,7
277,7
278,5
279,2
280,7
281,7
282,7
283,1
284,3
285,5
286,6
287,4
288,7
289,2
290,3
291,3
292,1
293,7
294,7
295,2
296,5
297,2
298,6
299,4
300,3
301,7
302,5
303,2
304,7
305,3
306,4
307,7
308,7
309,3
310,3
311,2
312,5
313,3
314,5
315,3
316,5
317,5
318,2
319,3
320,3
321,7
322,7
323,7
324,5
325,2
326,4
327,6
328,5
329,4
330,1
331,2
332,7
333,6
334,7
335,3
336,3
337,7
338,7
339,6
340,1
341,7
342,3
343,6
344,1
345,4
346,5
347,5
348,7
349,2
350,6
351,6
352,3
353,7
354,1
355,4
356,6
357,2
358,1
359,3
360,1
361,3
362,5
363,4
364,1
365,1
366,2
367,3
368,3
369,7
370,7
371,1
372,5
373,1
374,5
375,1
376,4
377,3
378,7
379,2
380,2
381,5
382,5
383,5
384,3
385,7
386,1
387,1
388,7
389,7
390,5
391,2
392,5
393,7
394,3
395,2
396,7
397,3
398,1
399,7
400,3
401,4
402,2
403,3
404,6
405,6
406,5
407,4
408,5
409,1
410,5
411,4
412,2
413,1
414,1
415,7
416,5
417,4
418,2
419,1
420,7
421,3
422,3
423,7
424,7
425,3
426,3
427,5
428,5
429,3
430,6
431,3
432,5
433,7
434,1
435,7
436,1
437,7
438,6
439,4
440,7
441,1
442,5
443,3
444,5
445,5
446,1
447,5
448,5
449,1
450,7
451,1
452,1
453,7
454,5
455,1
456,7
457,3
458,1
459,6
460,3
461,6
462,4
463,7
464,1
465,1
466,7
467,1
468,1
469,7
470,1
471,1
472,5
473,7
474,7
475,3
476,1
477,3
478,5
479,5
480,1
481,3
482,7
483,1
484,3
485,1
486,1
487,5
488,3
489,3
490,1
491,5
492,7
493,6
494,7
495,1
496,1
497,1
498,3
499,3
500,1
501,3
502,5
503,6
504,3
505,1
506,6
507,1
508,5
509,1
510,6
511,7
512,1
