Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,ATL,231.0,2.0,0.0,36.0,22.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,25.040000000000003,25.040000000000003,25.040000000000003
Dak Prescott,QB,HOU,294.0,2.0,0.0,28.0,22.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36,22.36,22.36
Robert Griffin,QB,NYJ,253.0,2.0,0.0,38.0,24.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,21.619999999999997,21.619999999999997,21.619999999999997
Patrick Mahomes,QB,BUF,204.0,1.0,0.0,26.0,13.0,9.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,19.76,19.76,19.76
Kirk Cousins,QB,CHI,235.0,2.0,0.0,28.0,20.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0
Russell Wilson,QB,SEA,237.0,2.0,0.0,31.0,23.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,18.98,18.98,18.98
Marcus Mariota,QB,KAN,243.0,2.0,0.0,34.0,24.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02,18.02,18.02
Nick Foles,QB,BAL,131.0,1.0,0.0,23.0,14.0,18.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,16.740000000000002,16.740000000000002,16.740000000000002
Tom Brady,QB,LAC,313.0,2.0,2.0,38.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.52,16.52,16.52
Gardner Minshew,QB,MIN,215.0,2.0,1.0,21.0,14.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.3,15.3
Philip Rivers,QB,WAS,151.0,1.0,0.0,25.0,16.0,9.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94,14.94,14.94
Derek Carr,QB,SFO,275.0,1.0,0.0,29.0,20.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,14.8,14.8
Carson Wentz,QB,NWE,279.0,1.0,1.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16,13.16,13.16
Jacoby Brissett,QB,PIT,235.0,2.0,2.0,34.0,22.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.099999999999998,13.099999999999998,13.099999999999998
Case Keenum,QB,DEN,257.0,0.0,2.0,48.0,31.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.380000000000003,12.380000000000003,12.380000000000003
Deshaun Watson,QB,DET,208.0,1.0,0.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32,12.32,12.32
Matthew Stafford,QB,CLE,188.0,2.0,1.0,31.0,18.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,12.120000000000001,12.120000000000001,12.120000000000001
Andy Dalton,QB,OAK,263.0,1.0,0.0,38.0,21.0,0.0,0.0,0.0,1.0,1.0,-9.0,0.0,1.0,12.62,11.62,12.12
Drew Brees,QB,GNB,274.0,0.0,1.0,42.0,25.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,11.46,11.46
Joe Flacco,QB,LAR,339.0,0.0,1.0,53.0,35.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,10.66,10.66,10.66
Marlon Mack,RB,TEN,6.0,0.0,0.0,1.0,1.0,33.0,170.0,2.0,1.0,1.0,0.0,0.0,0.0,30.240000000000002,29.240000000000002,29.740000000000002
Christian McCaffrey,RB,IND,0.0,0.0,0.0,0.0,0.0,27.0,139.0,2.0,1.0,1.0,10.0,0.0,1.0,25.9,24.9,25.4
Saquon Barkley,RB,KAN,0.0,0.0,0.0,0.0,0.0,10.0,49.0,2.0,6.0,6.0,74.0,0.0,0.0,30.299999999999997,24.299999999999997,27.299999999999997
Dalvin Cook,RB,SEA,0.0,0.0,0.0,0.0,0.0,22.0,119.0,1.0,6.0,6.0,29.0,0.0,0.0,26.799999999999997,20.799999999999997,23.799999999999997
Mark Ingram,RB,ATL,0.0,0.0,0.0,0.0,0.0,11.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,20.5,20.5,20.5
Todd Gurley,RB,MIA,0.0,0.0,0.0,0.0,0.0,12.0,123.0,1.0,1.0,1.0,-2.0,0.0,0.0,19.1,18.1,18.6
Alvin Kamara,RB,CAR,50.0,1.0,0.0,1.0,1.0,15.0,53.0,0.0,8.0,11.0,67.0,0.0,0.0,26.0,18.0,22.0
Josh Jacobs,RB,PHI,0.0,0.0,0.0,0.0,0.0,10.0,48.0,2.0,2.0,2.0,9.0,0.0,0.0,19.7,17.7,18.7
Derrick Henry,RB,PIT,0.0,0.0,0.0,0.0,0.0,19.0,142.0,0.0,2.0,2.0,30.0,0.0,0.0,19.2,17.2,18.2
Carlos Hyde,RB,BAL,0.0,0.0,0.0,0.0,0.0,19.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,16.4,16.4,16.4
David Johnson,RB,NOR,0.0,0.0,0.0,0.0,0.0,14.0,67.0,1.0,7.0,9.0,36.0,0.0,0.0,23.3,16.3,19.8
LeSean McCoy,RB,ARI,0.0,0.0,0.0,0.0,0.0,11.0,33.0,1.0,3.0,6.0,68.0,0.0,0.0,19.1,16.1,17.6
Nick Chubb,RB,GNB,0.0,0.0,0.0,0.0,0.0,12.0,55.0,1.0,4.0,5.0,42.0,0.0,0.0,19.7,15.7,17.7
Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,19.0,85.0,1.0,2.0,2.0,4.0,0.0,0.0,16.9,14.9,15.9
Devin Singletary,RB,LAC,0.0,0.0,0.0,0.0,0.0,16.0,58.0,1.0,3.0,4.0,27.0,0.0,0.0,17.5,14.5,16.0
Leonard Fournette,RB,CHI,0.0,0.0,0.0,0.0,0.0,19.0,60.0,1.0,1.0,1.0,15.0,0.0,0.0,14.5,13.5,14.0
Le'Veon Bell,RB,MIN,0.0,0.0,0.0,0.0,0.0,15.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,12.8,12.8,12.8
Austin Ekeler,RB,DAL,0.0,0.0,0.0,0.0,0.0,18.0,87.0,0.0,7.0,8.0,41.0,0.0,0.0,19.799999999999997,12.799999999999999,16.299999999999997
Justin Jackson,RB,NYJ,0.0,0.0,0.0,0.0,0.0,18.0,42.0,1.0,3.0,4.0,29.0,0.0,1.0,14.1,11.1,12.6
Duke Johnson,RB,DET,0.0,0.0,0.0,0.0,0.0,10.0,45.0,1.0,3.0,4.0,0.0,0.0,0.0,13.5,10.5,12.0
Julian Edelman,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,170.0,2.0,0.0,39.0,29.0,34.0
Robert Woods,WR,LAC,0.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,7.0,9.0,76.0,2.0,0.0,34.5,27.5,31.0
Christian Kirk,WR,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,77.0,2.0,0.0,23.7,19.7,21.7
Jarvis Landry,WR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,108.0,1.0,0.0,20.8,16.8,18.8
Parris Campbell,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,160.0,0.0,0.0,24.0,16.0,20.0
Tyreek Hill,WR,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,96.0,1.0,0.0,22.6,15.6,19.1
Jamison Crowder,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,146.0,0.0,0.0,21.6,14.6,18.1
Marvin Jones,WR,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,82.0,1.0,0.0,20.2,14.2,17.2
Tyler Boyd,WR,NWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,68.0,1.0,0.0,14.8,12.8,13.8
Alshon Jeffery,WR,TAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,121.0,0.0,0.0,16.1,12.1,14.1
Dede Westbrook,WR,GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,119.0,0.0,0.0,19.9,11.9,15.9
Albert Wilson,WR,MIN,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,7.0,49.0,1.0,0.0,15.8,11.8,13.8
Marquez Valdes-Scantling,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,49.0,1.0,0.0,14.9,10.9,12.9
Russell Gage,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,1.0,0.0,12.4,10.4,11.4
Cordarrelle Patterson,WR,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,38.0,1.0,0.0,13.8,9.8,11.8
Sammy Watkins,WR,CHI,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,5.0,6.0,31.0,1.0,1.0,14.5,9.5,12.0
Michael Gallup,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,35.0,1.0,0.0,14.5,9.5,12.0
John Ross,WR,LAR,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,7.0,9.0,74.0,0.0,0.0,16.3,9.3,12.8
DeSean Jackson,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0,1.0,0.0,10.1,9.1,9.6
Marquise Brown,WR,NWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,90.0,0.0,0.0,16.0,9.0,12.5
