Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,DAL,287.0,2.0,1.0,39.0,19.0,7.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,27.28,27.28,27.28
Dak Prescott,QB,GNB,246.0,4.0,0.0,38.0,28.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,31.84,31.84,31.84
Robert Griffin,QB,MIN,228.0,1.0,0.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,13.12,13.12
Patrick Mahomes,QB,JAX,337.0,3.0,0.0,54.0,33.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,27.68,27.68
Kirk Cousins,QB,DAL,287.0,2.0,1.0,39.0,19.0,7.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,27.28,27.28,27.28
Russell Wilson,QB,ATL,288.0,3.0,0.0,35.0,28.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.419999999999998,24.419999999999998,24.419999999999998
Marcus Mariota,QB,WAS,458.0,2.0,1.0,56.0,38.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.22,24.22,24.22
Nick Foles,QB,ARI,363.0,3.0,1.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.52,22.52,22.52
Tom Brady,QB,NOR,265.0,1.0,0.0,35.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.700000000000003,20.700000000000003,20.700000000000003
Gardner Minshew,QB,TEN,270.0,2.0,0.0,22.0,18.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900000000000002,19.900000000000002,19.900000000000002
Philip Rivers,QB,CIN,284.0,1.0,1.0,42.0,27.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,19.46,19.46,19.46
