Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,KAN,148.0,3.0,0.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92,17.92,17.92
Dak Prescott,QB,NOR,314.0,3.0,0.0,32.0,24.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46,25.46,25.46
Robert Griffin,QB,DEN,227.0,3.0,0.0,27.0,16.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68,21.68,21.68
Patrick Mahomes,QB,JAX,177.0,3.0,0.0,22.0,12.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.479999999999997,20.479999999999997,20.479999999999997
Kirk Cousins,QB,DAL,284.0,2.0,0.0,36.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.46,19.46,19.46
Russell Wilson,QB,STL,354.0,1.0,0.0,42.0,31.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,17.26,17.26,17.26
Marcus Mariota,QB,WAS,192.0,1.0,0.0,23.0,14.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,10.08,10.08,10.08
Nick Foles,QB,BUF,102.0,1.0,0.0,15.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,8.28,8.28
Tom Brady,QB,TAM,185.0,2.0,0.0,31.0,18.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,14.600000000000001,14.600000000000001,14.600000000000001
Gardner Minshew,QB,DET,321.0,1.0,1.0,32.0,20.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54,16.54,16.54
Philip Rivers,QB,IND,326.0,2.0,1.0,36.0,20.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.74,18.74,18.74
Derek Carr,QB,BAL,245.0,0.0,0.0,31.0,21.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
Carson Wentz,QB,SDG,211.0,0.0,0.0,28.0,19.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.139999999999999,8.139999999999999,8.139999999999999
Jacoby Brissett,QB,SEA,176.0,1.0,0.0,30.0,18.0,3.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94,15.94,15.94
Case Keenum,QB,HOU,176.0,0.0,0.0,30.0,21.0,5.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,15.44,15.44,15.44
Deshaun Watson,QB,PIT,433.0,1.0,3.0,54.0,38.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22,16.22,16.22
Matthew Stafford,QB,NYG,179.0,1.0,1.0,28.0,17.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,8.86,8.86
Andy Dalton,QB,CLE,241.0,1.0,1.0,44.0,26.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,12.34,12.34,12.34
Drew Brees,QB,MIA,137.0,3.0,2.0,32.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68,13.68,13.68
Joe Flacco,QB,GNB,287.0,1.0,2.0,47.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48,11.48,11.48
Marlon Mack,RB,KAN,0.0,0.0,0.0,0.0,0.0,27.0,172.0,1.0,0.0,0.0,0.0,0.0,0.0,23.2,23.2,23.2
Christian McCaffrey,RB,SDG,0.0,0.0,0.0,0.0,0.0,18.0,172.0,3.0,3.0,3.0,20.0,0.0,0.0,40.2,37.2,38.7
Saquon Barkley,RB,MIA,0.0,0.0,0.0,0.0,0.0,29.0,157.0,0.0,2.0,2.0,33.0,0.0,0.0,21.0,19.0,20.0
Dalvin Cook,RB,SEA,0.0,0.0,0.0,0.0,0.0,30.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,13.8
Mark Ingram,RB,GNB,0.0,0.0,0.0,0.0,0.0,23.0,122.0,0.0,1.0,2.0,8.0,0.0,0.0,14.0,13.0,13.5
Todd Gurley,RB,NYG,0.0,0.0,0.0,0.0,0.0,17.0,115.0,1.0,3.0,3.0,40.0,0.0,0.0,24.5,21.5,23.0
Alvin Kamara,RB,DET,0.0,0.0,0.0,0.0,0.0,26.0,110.0,2.0,4.0,7.0,30.0,0.0,0.0,30.0,26.0,28.0
Josh Jacobs,RB,MIN,0.0,0.0,0.0,0.0,0.0,26.0,96.0,0.0,8.0,9.0,45.0,0.0,0.0,22.1,14.1,18.1
Derrick Henry,RB,BUF,0.0,0.0,0.0,0.0,0.0,20.0,95.0,1.0,1.0,1.0,6.0,0.0,0.0,17.1,16.1,16.6
Carlos Hyde,RB,STL,0.0,0.0,0.0,0.0,0.0,19.0,86.0,1.0,13.0,14.0,133.0,0.0,1.0,38.9,25.9,32.4
David Johnson,RB,WAS,0.0,0.0,0.0,0.0,0.0,23.0,84.0,1.0,1.0,3.0,9.0,0.0,0.0,16.3,15.3,15.8
LeSean McCoy,RB,JAX,0.0,0.0,0.0,0.0,0.0,13.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.9,7.9
Nick Chubb,RB,CIN,0.0,0.0,0.0,0.0,0.0,18.0,78.0,1.0,1.0,2.0,2.0,0.0,0.0,15.0,14.0,14.5
Ronald Jones,RB,DAL,0.0,0.0,0.0,0.0,0.0,20.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,7.3
Devin Singletary,RB,BAL,0.0,0.0,0.0,0.0,0.0,24.0,72.0,1.0,3.0,4.0,15.0,0.0,0.0,17.7,14.7,16.2
Leonard Fournette,RB,CHI,0.0,0.0,0.0,0.0,0.0,20.0,69.0,0.0,4.0,6.0,24.0,0.0,0.0,13.3,9.3,11.3
Le'Veon Bell,RB,TEN,0.0,0.0,0.0,0.0,0.0,19.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.7
Austin Ekeler,RB,OAK,0.0,0.0,0.0,0.0,0.0,9.0,63.0,0.0,1.0,2.0,10.0,0.0,0.0,8.3,7.3,7.8
Justin Jackson,RB,NWE,0.0,0.0,0.0,0.0,0.0,13.0,63.0,0.0,1.0,2.0,-1.0,0.0,0.0,7.2,6.2,6.7
Duke Johnson,RB,ATL,0.0,0.0,0.0,0.0,0.0,11.0,51.0,1.0,3.0,3.0,20.0,0.0,0.0,16.1,13.1,14.6
Julian Edelman,WR,DEN,0.0,0.0,0.0,0.0,0.0,1.0,72.0,1.0,6.0,12.0,134.0,2.0,0.0,44.6,38.6,41.6
Robert Woods,WR,JAX,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,3.0,13.0,0.0,0.0,3.3,2.3,2.8
Christian Kirk,WR,WAS,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9
Jarvis Landry,WR,NOR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,3.0,11.0,0.0,0.0,2.9000000000000004,1.9000000000000001,2.4000000000000004
Parris Campbell,WR,CLE,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,12.0,66.0,1.0,0.0,20.4,13.399999999999999,16.9
Tyreek Hill,WR,BUF,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,2.0,6.0,0.0,0.0,2.4,1.4,1.9
Jamison Crowder,WR,MIN,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,11.0,0.0,0.0,2.6,1.6,2.1
Marvin Jones,WR,TAM,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,38.0,0.0,0.0,8.0,4.0,6.0
Tyler Boyd,WR,STL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,59.0,1.0,0.0,18.9,11.9,15.4
Alshon Jeffery,WR,MIA,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,3.0,4.0,14.0,1.0,0.0,10.3,7.300000000000001,8.8
Dede Westbrook,WR,SFO,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,1.0,2.0,18.0,0.0,0.0,2.2,1.2000000000000002,1.7000000000000002
Albert Wilson,WR,DAL,0.0,0.0,0.0,0.0,0.0,1.0,-8.0,0.0,3.0,6.0,26.0,1.0,0.0,10.8,7.800000000000001,9.3
Marquez Valdes-Scantling,WR,NYG,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,0.0,2.0,5.0,21.0,0.0,0.0,3.2,1.2000000000000002,2.2
Russell Gage,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,145.0,2.0,0.0,34.5,26.5,30.5
Cordarrelle Patterson,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,138.0,1.0,0.0,25.8,19.8,22.8
Sammy Watkins,WR,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,123.0,1.0,0.0,29.3,18.3,23.8
Michael Gallup,WR,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,111.0,2.0,0.0,26.1,23.1,24.6
John Ross,WR,TAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,97.0,2.0,0.0,25.7,21.7,23.7
DeSean Jackson,WR,GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,96.0,1.0,0.0,24.6,15.6,20.1
Marquise Brown,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,90.0,0.0,0.0,15.0,9.0,12.0
